Player,Position,fantasypros_id,top64,team
Malik Willis,QB,23499,,
Kenny Pickett,QB,22722,1,PIT
Matt Corral,QB,23028,,
Sam Howell,QB,23045,,
Desmond Ridder,QB,20080,,
Carson Strong,QB,23042,,
Bailey Zappe,QB,24027,,
Skylar Thompson,QB,24170,,
EJ Perry,QB,24200,,
Jack Coan,QB,20075,,
D'Eriq King,QB,19783,,
Brock Purdy,QB,19797,,
Kaleb Eleby,QB,24168,,
Breece Hall,RB,22982,,
Kenneth Walker III,RB,23021,,
Isaiah Spiller,RB,23143,,
Rachaad White,RB,23891,,
Zamir White,RB,20095,,
Brian Robinson Jr.,RB,20094,,
Dameon Pierce,RB,22947,,
James Cook,RB,22958,,
Jerome Ford,RB,22921,,
Tyler Allgeier,RB,24172,,
Tyler Badie,RB,23812,,
Kyren Williams,RB,23059,,
Kennedy Brooks,RB,20161,,
Jerrion Ealy,RB,23029,,
Pierre Strong Jr.,RB,24173,,
Hassan Haskins,RB,23798,,
Ty Chandler,RB,19471,,
Zonovan Knight,RB,23038,,
D'Vonte Price,RB,23874,,
Sincere McCormick,RB,23172,,
Keaontay Ingram,RB,23162,,
Kevin Harris,RB,23117,,
Tyler Goodson,RB,22976,,
Abram Smith,RB,23796,,
Isaiah Pacheco,RB,24210,,
Max Borghi,RB,20099,,
Jashaun Corbin,RB,22948,,
Master Teague,RB,20092,,
Tyrion Davis-Price,RB,22992,,
CJ Verdell,RB,20103,,
Trestan Ebner,RB,24047,,
Trey Sanders,RB,22897,,
Cam'Ron Harris,RB,23008,,
Ronnie Rivers,RB,23986,,
Jaylen Warren,RB,24209,,
Snoop Conner,RB,23027,,
Leddie Brown,RB,23953,,
Trey McBride,TE,22936,,
Greg Dulcich,TE,23153,,
Isaiah Likely,TE,23781,,
Jeremy Ruckert,TE,23742,,
Jalen Wydermyer,TE,23145,,
Jelani Woods,TE,23829,,
Charlie Kolar,TE,22756,,
Cole Turner,TE,23727,,
Jake Ferguson,TE,22718,,
Grant Calcaterra,TE,24180,,
Daniel Bellinger,TE,24238,,
Cade Otton,TE,23181,,
Chigoziem Okonkwo,TE,23982,,
Derrick Deese Jr.,TE,23971,,
Garrett Wilson,WR,23072,1,NYJ
Treylon Burks,WR,22905,1,TEN
Drake London,WR,23163,1,ATL
Chris Olave,WR,20111,1,NOS
Jameson Williams,WR,23677,1,DET
George Pickens,WR,22963,,
Jahan Dotson,WR,23101,1,WAS
Christian Watson,WR,23886,,
Skyy Moore,WR,23905,,
David Bell,WR,23108,,
John Metchie,WR,22895,,
Justyn Ross,WR,19798,,
Jalen Tolbert,WR,23770,,
Wan'dale Robinson,WR,22985,,
Khalil Shakir,WR,23748,,
Alec Pierce,WR,23791,,
Calvin Austin III,WR,23739,,
Tyquan Thornton,WR,22913,,
Romeo Doubs,WR,23794,,
Bo Melton,WR,24049,,
Dontario Drummond,WR,23809,,
Danny Gray,WR,24178,,
Kevin Austin,WR,23049,,
Erik Ezukanma,WR,23755,,
Velus Jones Jr.,WR,24214,,
Charleston Rambo,WR,19457,,
Makai Polk,WR,23032,,
Kyle Phillips,WR,23155,,
Isaiah Weston,WR,24327,,
Braylon Sanders,WR,24228,,
Slade Bolden,WR,23887,,
Kyle Philips,WR,23896,,
Jaivon Heiligh,WR,22935,,
Jalen Nailor,WR,24177,,
Tre Turner,WR,23820,,
Jaquarii Roberson,WR,23818,,
Devon Williams,WR,23099,,
Ty Fryfogle,WR,22974,,
Dai'Jean Dixon,WR,24329,,
Reggie Roberson,WR,23114,,
Jayden Reed,WR,23020,,
Josh Johnson,WR,24212,,
